Metal Scale From 1" to 11":

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 2
no sorting
2.42E2	1.53E3
3.05E3	1.44E3

Left Inner Involute Case Wrap:

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 98
no sorting
7.47E2	1.42E3
7.63E2	1.46E3
7.73E2	1.48E3
7.87E2	1.51E3
8.49E2	1.66E3
8.67E2	1.70E3
8.92E2	1.73E3
9.05E2	1.75E3
9.25E2	1.78E3
9.54E2	1.82E3
9.93E2	1.86E3
1.03E3	1.90E3
1.07E3	1.93E3
1.13E3	1.97E3
1.19E3	2.01E3
1.25E3	2.04E3
1.32E3	2.07E3
1.39E3	2.09E3
1.46E3	2.10E3
1.53E3	2.11E3
1.59E3	2.12E3
1.67E3	2.11E3
1.73E3	2.11E3
1.80E3	2.09E3
1.86E3	2.07E3
1.92E3	2.05E3
1.98E3	2.02E3
2.04E3	1.99E3
2.09E3	1.95E3
2.14E3	1.91E3
2.18E3	1.88E3
2.22E3	1.83E3
2.26E3	1.79E3
2.30E3	1.74E3
2.32E3	1.69E3
2.34E3	1.65E3
2.36E3	1.61E3
2.41E3	1.46E3
2.42E3	1.42E3
2.43E3	1.38E3
2.42E3	1.32E3
2.43E3	1.27E3
2.43E3	1.23E3
2.42E3	1.18E3
2.41E3	1.13E3
2.40E3	1.09E3
2.39E3	1.05E3
2.38E3	1.00E3
2.36E3	9.65E2
2.34E3	9.29E2
2.33E3	9.11E2
2.32E3	8.79E2
2.29E3	8.43E2
2.26E3	8.06E2
2.22E3	7.65E2
2.17E3	7.21E2
2.13E3	6.86E2
2.07E3	6.51E2
2.01E3	6.26E2
1.96E3	6.07E2
1.90E3	5.93E2
1.84E3	5.83E2
1.78E3	5.80E2
1.74E3	5.80E2
1.69E3	5.83E2
1.64E3	5.91E2
1.58E3	6.05E2
1.52E3	6.25E2
1.47E3	6.52E2
1.41E3	6.80E2
1.37E3	7.09E2
1.33E3	7.42E2
1.29E3	7.88E2
1.25E3	8.30E2
1.23E3	8.64E2
1.20E3	9.04E2
1.18E3	9.45E2
1.15E3	9.93E2
1.14E3	1.04E3
1.12E3	1.09E3
1.11E3	1.14E3
1.11E3	1.18E3
1.10E3	1.20E3
1.11E3	1.24E3
1.11E3	1.28E3
1.11E3	1.32E3
1.12E3	1.36E3
1.13E3	1.40E3
1.14E3	1.43E3
1.15E3	1.47E3
1.17E3	1.50E3
1.30E3	1.65E3
1.35E3	1.68E3
1.41E3	1.71E3
1.47E3	1.73E3
1.53E3	1.74E3
1.59E3	1.75E3
1.65E3	1.74E3
1.70E3	1.74E3
1.73E3	1.73E3
1.77E3	1.71E3
1.82E3	1.69E3
1.86E3	1.67E3
1.90E3	1.63E3
2.02E3	1.48E3
2.04E3	1.43E3
2.06E3	1.38E3
2.07E3	1.33E3
2.07E3	1.29E3
2.07E3	1.25E3
2.07E3	1.21E3
2.06E3	1.19E3
2.05E3	1.16E3

Right Inner Involute Case Wrap:

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 101
no sorting
2.56E3	1.11E3
2.55E3	1.07E3
2.54E3	1.03E3
2.54E3	1.01E3
2.53E3	9.88E2
2.51E3	9.71E2
2.51E3	9.50E2
2.48E3	8.89E2
2.45E3	8.29E2
2.42E3	7.83E2
2.39E3	7.40E2
2.35E3	6.99E2
2.31E3	6.59E2
2.29E3	6.35E2
2.24E3	6.03E2
2.19E3	5.67E2
2.13E3	5.31E2
2.05E3	4.96E2
1.96E3	4.66E2
1.89E3	4.52E2
1.81E3	4.44E2
1.74E3	4.42E2
1.68E3	4.46E2
1.61E3	4.56E2
1.54E3	4.72E2
1.47E3	4.97E2
1.38E3	5.40E2
1.31E3	5.81E2
1.26E3	6.25E2
1.21E3	6.70E2
1.16E3	7.19E2
1.12E3	7.77E2
1.08E3	8.35E2
1.05E3	8.84E2
1.02E3	9.44E2
1.00E3	1.01E3
9.86E2	1.08E3
9.75E2	1.14E3
9.70E2	1.21E3
9.70E2	1.27E3
9.74E2	1.32E3
9.79E2	1.36E3
9.93E2	1.42E3
1.01E3	1.47E3
1.02E3	1.51E3
1.11E3	1.65E3
1.15E3	1.70E3
1.21E3	1.76E3
1.26E3	1.79E3
1.31E3	1.82E3
1.36E3	1.85E3
1.41E3	1.86E3
1.48E3	1.88E3
1.56E3	1.89E3
1.65E3	1.89E3
1.72E3	1.88E3
1.80E3	1.85E3
1.86E3	1.83E3
1.92E3	1.80E3
1.95E3	1.77E3
1.99E3	1.74E3
2.04E3	1.70E3
2.07E3	1.66E3
